apply_coercion,avg_delta_pct_missing,avg_delta_pct_outliers,avg_readiness,bucket_width,check,config_hash,contracts_hard_fail,data_readiness_index,dataset_version_id,delta_threshold,detail,details,drift_high_count,dtype_after_enforce,encoded_target,feature_groups_csv,feature_groups_json,feature_groups_yaml,feature_space_json,feature_space_yaml,formats,full_row_dupes,git_hash,group_counts_json,has_config_hash,has_data_snapshot_id,has_full_dupes,imbalance_ratio,integrity_index,level,max_cardinality,max_null_pct,max_null_pct_col,max_outlier_pct,max_psi,max_score_observed,mode,n_actual,n_alerts,n_anomalies,n_anomalous_buckets,n_anomaly_rows,n_applied,n_artifacts_exist,n_artifacts_total,n_attempted,n_binary,n_binary_candidates,n_binary_features,n_binary_numeric,n_boolean,n_buckets,n_candidate_ids,n_categorical,n_categorical_features,n_cells_changed,n_checks_fail,n_checks_ok,n_checks_run,n_cols,n_cols_exported,n_columns,n_columns_attempted,n_columns_checked,n_columns_coerced_ok,n_columns_consolidated,n_columns_failed,n_columns_imputed,n_columns_profiled,n_columns_scanned,n_columns_summarized,n_columns_treated,n_columns_visualized,n_columns_with_anomalies,n_columns_with_constraints,n_columns_with_domains,n_columns_with_drift,n_columns_with_hygiene_issues,n_columns_with_invalid_tokens,n_columns_with_rare_categories,n_columns_with_unexpected_values,n_constant_cols,n_continuous,n_contracts,n_contracts_fail_hard,n_contracts_warn_soft,n_corr_pairs,n_critical,n_critical_alerts,n_critical_issue_types,n_critical_token_columns,n_datetime,n_distinct_issue_pairs,n_dominant,n_dominant_domains,n_drift_high,n_drift_medium,n_eda_ready,n_edges,n_excluded_from_model,n_expected,n_failed,n_feature_groups,n_features,n_features_checked,n_features_configured,n_features_error,n_features_monitored,n_features_scored,n_features_simulated,n_features_success,n_fk_with_unmatched,n_flags,n_foreign_keys,n_fragmented,n_fragmented_domains,n_groups,n_groups_configured,n_groups_evaluated,n_groups_valid_config,n_groups_with_violations,n_hard_rules,n_heavy_tail,n_high_bias_risk,n_high_card_cols,n_high_cardinality_columns,n_high_cv,n_high_drift_columns,n_high_missing_columns,n_high_outlier_cols,n_high_skew,n_id,n_id_columns,n_id_configured,n_id_in_df,n_ids,n_inconsistent_rows,n_intervals_checked,n_intervals_with_violations,n_invalid_raw,n_invalid_target_vals,n_issue_files,n_keys_with_duplicates,n_keys_with_nulls,n_low_entropy,n_low_readiness,n_mismatched,n_missing,n_multicollinear,n_near_constant,n_needs_transformation,n_neg,n_nodes,n_non_01_values,n_non_null,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_numeric_cols,n_numeric_features,n_numeric_with_rules,n_ok,n_one_hot,n_ordinal,n_pairs,n_pairs_anomalous,n_pairs_checked,n_pairs_involving_model_features,n_pairs_total,n_panels_rendered,n_perf_critical,n_perf_warn,n_plots,n_plots_categorical,n_plots_numeric,n_pos,n_preview_cols,n_preview_rows,n_primary_keys,n_protected,n_protected_columns,n_quasi_identifier_columns,n_rare_values_total,n_ratio_rules,n_red,n_redundant_pairs,n_renamed_pairs,n_required,n_rows,n_rows_changed,n_rows_dropped,n_rows_exported,n_rows_raw,n_rows_scored,n_rules,n_rules_configured,n_rules_covered,n_rules_evaluated,n_rules_failing_reconciliation,n_rules_missing_columns,n_rules_no_valid_rows,n_rules_with_violations,n_schemes_exceeding_max_dim,n_sections,n_sections_2_5,n_sections_fail,n_significant,n_soft_rules,n_sources_configured,n_sources_nonempty,n_sources_with_file,n_status_fail,n_status_ok,n_status_warn,n_strong_associations,n_strong_pairs,n_strong_target_pairs,n_target,n_time_buckets,n_time_outliers,n_unassigned,n_unexpected,n_unexpected_values_total,n_valid_ok,n_values_consolidated,n_values_modified,n_warn,n_yellow,n_zero_inflated,overall_contract_status,overall_null_pct,pct_invalid_raw,pseudo_time_col,raw_target_col,raw_target_column,revalidation_status,run_status,schema_hash,section,section_name,source_catalog_csv,status,target_column,temporal_enabled,time_bucket,time_column,timestamp,top_missing_col,top_missing_pct,total_mem_mb,total_runtime_sec,window_size
,,,,,Summarize logic anomalies per column to identify fragile features,,,,,,column_anomaly_profile.csv,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5.13,Column-level anomaly density & impact profile,,OK,,,,,2025-12-12 05:31:56.240439+00:00,,,,,
,,,,,Assemble a compact manifest of logic-layer health for downstream orchestration/UI,,,,,,logic_health_manifest.json,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,0.0,18.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,2.5.15,Logic health manifest & Section 2.5 summary,,WARN,,,,,2025-12-12 05:31:56.358573+00:00,,,,,
,,,,,Visualize integrity metrics across 2.3–2.5,,,,,,logic_integrity_dashboard.html,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5.16,Logic consistency dashboard,,OK,,,,,2025-12-12 05:31:56.687412+00:00,,,,,
,,,,,Compute unified Section 2 integrity index (0–100),,,,,,data_integrity_index.csv,,,,,,,,,,,,,,,,,,90.0,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5.17,Composite data integrity score,,OK,,,,,2025-12-12 05:31:56.774110+00:00,,,,,
,,,,,Populate master_dashboard.html from Section 2 artifacts,,,,,,master_dashboard_template_missing_or_error,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5.18,Master dashboard writer,,WARN,,,,,2025-12-12 05:31:56.884194+00:00,,,,,
,,,,,Coerce columns to configured dtypes with logging and error tracking,,,,,,type_coercion_log.csv,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,31.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.2,Safe type coercion layer,,OK,,,,,2025-12-12 05:31:57.084100+00:00,,,,,
,,,,,Apply configured imputation strategies per column type,,,,,,missing_value_imputations.csv,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.3,Missing value treatment,,WARN,,,,,2025-12-12 05:31:57.221966+00:00,,,,,
,,,,,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,,,,,,outlier_treatment_report.csv,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.4,Outlier handling,,OK,,,,,2025-12-12 05:31:57.400792+00:00,,,,,
,,,,,Enforce configured numeric ranges and categorical domains,,,,,,domain_enforcement_log.csv,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.6.5,Range & domain enforcement,,OK,,,,,2025-12-12 05:31:57.505871+00:00,,,,,
,,,,,Group low-frequency categories into configured 'Other' buckets,,,,,,category_consolidation_map.json,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,2.6.6,Rare-category consolidation,,WARN,,,,,2025-12-12 05:31:58.214345+00:00,,,,,
,,,,,Recompute configured derived features after cleaning and repairs,,,,,,derived_feature_refresh.csv,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.8,Derived feature regeneration,,OK,,,,,2025-12-12 05:32:00.742627+00:00,,,,,
,,,,,Assign encoding methods to categorical features and estimate dimensionality,,,,,,encoding_plan.csv,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.6.9,Categorical encoding preparation,,OK,,,,,2025-12-12 05:32:00.862199+00:00,,,,,
,,,,,Emit row/column-level before→after change log for selected columns,,,,,,,,,,,,,,,,,,,,,,,,,info,,,,,,,sampled,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.10,Change log generator,,WARN,,,,,2025-12-12 05:32:00.994942+00:00,,,,,
,,,,,Emit row/column-level before→after change log for selected columns,,,,,,{},,,,,,,,,,,,,,,,,,,info,,,,,,,sampled,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.10,Change log generator,,WARN,,,,,2025-12-12 05:32:01.061932+00:00,,,,,
,0.0052061148184959,,,,Compute pre- vs post-clean metrics and deltas for key columns,,,,,,,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.11,Before/after summary metrics,,OK,,,,,2025-12-12 05:32:43.395457+00:00,,,,,
,,,,,"Persist config, schema, version, and integrity metadata for this cleaning run",44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,2.6.12,Cleaning metadata & schema version log,,OK,,,,,2025-12-12 05:33:20.252275+00:00,,,,,
,,,,,Re-run selected Section 2 checks on cleaned dataset to confirm no regressions,,,,,,revalidation_summary.csv,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.13,Re-validation pass,,FAIL,,,,,2025-12-12 05:34:52.547389+00:00,,,,,
,,,,,Emit run-level operational log and alert signals for CI/CD,,,,,,,,,,,,,,,,,,,,,,,,90.0,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL,failed,,2.6.14,CI/CD integration & automation,,OK,,,,,2025-12-12 05:34:56.920281+00:00,,,,,
,,,,,Export final cleaned dataset and record hashes for verification,,,,,,"parquet,csv",,,,,,,,,,"parquet,csv",,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.15,Clean data export,,OK,,,,,2025-12-12 05:35:00.629241+00:00,,,,,
,,,,,Export final cleaned dataset and record hashes for verification,,,,,,"parquet,csv",,,,,,,,,,"parquet,csv",,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6.15,Clean data export,,OK,,,,,2025-12-12 05:35:24.444732+00:00,,,,,
,,,,,Environment & config readiness preflight,,,,,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.1,Environment & config readiness preflight,,OK,,,,,2025-12-11 21:35:33.119574,,,,,
,,,,,Config & constants validation for Section 2,,,,,,All required config roots present and Section 2 constants registered.,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.2,Config & constants validation,,OK,,,,,2025-12-11 21:35:33.221967,,,,,
,,,,,Section 2 run metadata snapshot,,,,1.0,,Metadata saved to section2_run_metadata.json,,,,,,,,,,,,aedbd7ba97592c641b774c216a5f60df1535f70c,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,,OK,,,,,2025-12-11 21:35:33.397290,,,,,
,,,,,Dataset-level shape & memory snapshot,,,,,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.4,Dataset snapshot & preview,,OK,,,,,2025-12-11 21:35:33.635739,,,6.5061,,
,,,,,"Overall missingness, dtype distribution, top-N missing columns",,,,,,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0074,,,,,,,,2.0.5,Row/Column baseline summary (lightweight),,OK,,,,,2025-12-11 21:35:33.727636,TotalCharges,0.1562,,,
,,,,,Config-driven IDs and protected columns snapshot,,,,,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.6,ID & protected columns snapshot,,OK,,,,,2025-12-11 21:35:33.931256,,,,,
,,,,,Dependency registry build,,,,,,Registered Section 2 nodes and metrics into section2_registry.json and archived a per-run snapshot under history/section2_registry/.,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,,OK,,,,,2025-12-11 21:35:34.194440,,,,,
,,,,,Sanity preview printout,,,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,,,,,2025-12-11 21:35:34.282615,,,,,
,,,,,Sanity preview printout,,,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,,,,,2025-12-11 21:35:34.399669,,,,,
,,,,,Create Churn_flag and validate raw target labels,,,,,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",,,,Churn_flag,,,,,,,,,,,,,0.3612,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5174.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,1869.0,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Churn,,,,,2.1.1,Target variable creation & validation,,OK,,,,,2025-12-11 21:35:34.549128,,,,,
,,,,,ID & key field verification,,,,,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.2,ID & key field verification,,OK,,,,,2025-12-11 21:35:34.650674,,,,,
,,,,,Special-case numeric flags,,,,,,Detected 1 special numeric flag column(s); written to special_numeric_flags.csv.,,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.3,Special-case numeric flag registration,,OK,,,,,2025-12-11 21:35:34.746393,,,,,
,,,,,Duplicate audit,,,,,,Duplicate audit written to duplicate_audit_report.csv; 0 full-row duplicates detected.,,,,,,,,,,,0.0,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4,Duplicate & record-level consistency audit,,OK,,,,,2025-12-11 21:35:34.846748,,,,,
,,,,,Duplicate audit preview,,,,,,Duplicate preview sample written to 2.1.4_duplicate_audit_sample.csv with 0 rows.,,,,,,,,,,,,,,,,0.0,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4.5.5,Duplicate audit preview & sample export,,OK,,,,,2025-12-11 21:35:34.974779,,,,,
,,,,,Feature group catalog (column-level),,,,,,Feature groups registered for 22 column(s); catalog written to feature_groups_2_1_5.csv.,,,,,feature_groups_2_1_5.csv,feature_groups_2_1_5.json,feature_groups_2_1_5.yaml,,,,,,"{""categorical_low_card"": 15, ""id"": 1, ""numeric_continuous"": 3, ""numeric_flag"": 1, ""target"": 1, ""target_aux"": 1}",,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.1.5,Feature group registration,,OK,,,,,2025-12-11 21:35:35.175840,,,,,
